Gene	GeneName	LengthPI	TotalVariants	UniqueProteinVariants	UniqueCodingExons
6712	SPTBN2 spectrin beta, non-erythrocytic 2	2390	12	5	42
6713	SQLE squalene epoxidase	574	2	2	12
6714	SRC SRC proto-oncogene, non-receptor tyrosine kinase	536	7	2	13
6715	SRD5A1 steroid 5 alpha-reductase 1	259	3	3	6
6716	SRD5A2 steroid 5 alpha-reductase 2	254	3	3	8
6717	SRI sorcin	198	5	5	12
6718	AKR1D1 aldo-keto reductase family 1 member D1	326	3	3	9
6720	SREBF1 sterol regulatory element binding transcription factor 1	1177	6	6	25
6721	SREBF2 sterol regulatory element binding transcription factor 2	1141	5	5	23
6722	SRF serum response factor	508	2	2	7
6723	SRM spermidine synthase	302	2	2	10
6582	SLC22A2 solute carrier family 22 member 2	555	1	1	11
6726	SRP9 signal recognition particle 9	86	2	2	4
6727	SRP14 signal recognition particle 14	136	2	2	6
6728	SRP19 signal recognition particle 19	144	5	5	7
6729	SRP54 signal recognition particle 54	504	5	4	15
6730	SRP68 signal recognition particle 68	627	3	3	16
6731	SRP72 signal recognition particle 72	671	3	3	21
6732	SRPK1 SRSF protein kinase 1	655	1	1	16
399949	C11orf88 chromosome 11 open reading frame 88	196	2	2	7
6734	SRPRA SRP receptor alpha subunit	638	3	3	17
170575	GIMAP1 GTPase, IMAP family member 1	306	1	1	2
6736	SRY sex determining region Y	204	1	1	1
6737	TRIM21 tripartite motif containing 21	475	1	1	6
6738	TROVE2 TROVE domain family member 2	534	13	6	14
6741	SSB Sjogren syndrome antigen B	408	2	1	11
6742	SSBP1 single stranded DNA binding protein 1	148	9	2	7
121273	C12orf54 chromosome 12 open reading frame 54	127	4	3	8
6744	SSFA2 sperm specific antigen 2	1259	11	11	23
6745	SSR1 signal sequence receptor subunit 1	286	2	2	9
6746	SSR2 signal sequence receptor subunit 2	183	2	2	6
6747	SSR3 signal sequence receptor subunit 3	198	4	3	6
6748	SSR4 signal sequence receptor subunit 4	184	7	4	10
6749	SSRP1 structure specific recognition protein 1	709	3	3	19
6750	SST somatostatin	116	1	1	2
6751	SSTR1 somatostatin receptor 1	391	1	1	1
399968	PATE4 prostate and testis expressed 4	98	1	1	3
6753	SSTR3 somatostatin receptor 3	418	7	1	1
6754	SSTR4 somatostatin receptor 4	388	1	1	1
154043	CNKSR3 CNKSR family member 3	555	2	2	14
6756	SSX1 SSX family member 1	188	2	1	6
6760	SS18 SS18, nBAF chromatin remodeling complex subunit	418	11	6	12
137835	TMEM71 transmembrane protein 71	276	2	2	10
6764	ST5 suppression of tumorigenicity 5	1137	32	14	26
6767	ST13 ST13, Hsp70 interacting protein	369	2	2	13
6768	ST14 suppression of tumorigenicity 14	855	1	1	19
6769	STAC SH3 and cysteine rich domain	402	7	6	15
6770	STAR steroidogenic acute regulatory protein	285	2	2	9
6772	STAT1 signal transducer and activator of transcription 1	750	4	3	26
6773	STAT2 signal transducer and activator of transcription 2	851	8	8	28
6774	STAT3 signal transducer and activator of transcription 3	770	12	4	29
6775	STAT4 signal transducer and activator of transcription 4	748	5	2	24
6776	STAT5A signal transducer and activator of transcription 5A	794	5	4	18
6777	STAT5B signal transducer and activator of transcription 5B	787	3	3	19
6778	STAT6 signal transducer and activator of transcription 6	847	13	4	24
6779	STATH statherin	62	2	2	4
6780	STAU1 staufen double-stranded RNA binding protein 1	542	18	6	15
6781	STC1 stanniocalcin 1	247	1	1	4
6782	HSPA13 heat shock protein family A (Hsp70) member 13	471	1	1	5
6783	SULT1E1 sulfotransferase family 1E member 1	294	2	2	9
6785	ELOVL4 ELOVL fatty acid elongase 4	314	1	1	6
170626	XAGE3 X antigen family member 3	111	5	1	5
100506243	KRBOX1 KRAB box domain containing 1	128	1	1	4
6788	STK3 serine/threonine kinase 3	519	20	16	25
6789	STK4 serine/threonine kinase 4	487	12	9	20
6790	AURKA aurora kinase A	403	11	2	10
22977	AKR7A3 aldo-keto reductase family 7 member A3	331	3	3	9
6792	CDKL5 cyclin dependent kinase like 5	1030	3	2	21
1132	CHRM4 cholinergic receptor muscarinic 4	479	1	1	1
6794	STK11 serine/threonine kinase 11	433	4	4	15
6795	AURKC aurora kinase C	309	3	3	7
137868	SGCZ sarcoglycan zeta	312	4	4	9
55746	NUP133 nucleoporin 133	1156	1	1	26
137872	ADHFE1 alcohol dehydrogenase, iron containing 1	467	1	1	14
6801	STRN striatin	780	3	3	20
6804	STX1A syntaxin 1A	288	3	3	13
203413	CT83 cancer/testis antigen 83	113	1	1	2
6809	STX3 syntaxin 3	289	15	10	16
6810	STX4 syntaxin 4	297	5	5	13
6811	STX5 syntaxin 5	355	4	4	14
6812	STXBP1 syntaxin binding protein 1	603	2	2	20
6813	STXBP2 syntaxin binding protein 2	604	5	5	24
137886	UBXN2B UBX domain protein 2B	331	3	3	11
6815	STYX serine/threonine/tyrosine interacting protein	223	5	4	12
6817	SULT1A1 sulfotransferase family 1A member 1	295	15	4	15
6818	SULT1A3 sulfotransferase family 1A member 3	295	1	1	7
203427	SLC25A43 solute carrier family 25 member 43	341	3	3	8
6820	SULT2B1 sulfotransferase family 2B member 1	365	2	2	8
6598	SMARCB1 SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1	394	4	4	13
203430	RTL3 retrotransposon Gag like 3	475	1	1	1
6827	SUPT4H1 SPT4 homolog, DSIF elongation factor subunit	117	1	1	5
6829	SUPT5H SPT5 homolog, DSIF elongation factor subunit	1087	7	3	33
6830	SUPT6H SPT6 homolog, histone chaperone	1726	5	2	37
6832	SUPV3L1 Suv3 like RNA helicase	786	7	4	16
6833	ABCC8 ATP binding cassette subfamily C member 8	1582	11	11	48
6834	SURF1 SURF1, cytochrome c oxidase assembly factor	300	3	2	10
6835	SURF2 surfeit 2	256	2	2	7
6836	SURF4 surfeit 4	269	11	9	14
6837	MED22 mediator complex subunit 22	200	2	2	5
6838	SURF6 surfeit 6	361	2	2	7
6839	SUV39H1 suppressor of variegation 3-9 homolog 1	423	2	2	7
6840	SVIL supervillin	2214	25	21	42
6843	VAMP1 vesicle associated membrane protein 1	118	4	4	8
6844	VAMP2 vesicle associated membrane protein 2	116	2	2	7
6845	VAMP7 vesicle associated membrane protein 7	220	5	5	9
6846	XCL2 X-C motif chemokine ligand 2	114	1	1	3
6847	SYCP1 synaptonemal complex protein 1	976	11	8	35
170689	ADAMTS15 ADAM metallopeptidase with thrombospondin type 1 motif 15	950	2	2	9
6850	SYK spleen associated tyrosine kinase	635	6	2	14
170691	ADAMTS17 ADAM metallopeptidase with thrombospondin type 1 motif 17	1095	15	14	37
170692	ADAMTS18 ADAM metallopeptidase with thrombospondin type 1 motif 18	1221	5	4	24
6853	SYN1 synapsin I	705	2	2	14
6854	SYN2 synapsin II	582	6	6	19
6855	SYP synaptophysin	313	1	1	6
6856	SYPL1 synaptophysin like 1	259	2	2	7
6857	SYT1 synaptotagmin 1	422	8	2	9
6860	SYT4 synaptotagmin 4	425	1	1	4
6861	SYT5 synaptotagmin 5	386	7	4	14
6862	TBXT T-box transcription factor T	435	3	3	12
6863	TAC1 tachykinin precursor 1	129	4	4	6
6865	TACR2 tachykinin receptor 2	398	1	1	5
6866	TAC3 tachykinin 3	121	2	2	5
6867	TACC1 transforming acidic coiled-coil containing protein 1	805	28	17	20
6868	ADAM17 ADAM metallopeptidase domain 17	824	6	4	24
6869	TACR1 tachykinin receptor 1	407	2	2	6
6870	TACR3 tachykinin receptor 3	465	1	1	5
6871	TADA2A transcriptional adaptor 2A	443	14	7	17
170712	COX7B2 cytochrome c oxidase subunit 7B2	81	11	1	2
6873	TAF2 TATA-box binding protein associated factor 2	1199	16	11	30
6874	TAF4 TATA-box binding protein associated factor 4	1085	1	1	15
6875	TAF4B TATA-box binding protein associated factor 4b	867	6	6	20
6876	TAGLN transgelin	201	2	1	4
6877	TAF5 TATA-box binding protein associated factor 5	800	2	2	11
6878	TAF6 TATA-box binding protein associated factor 6	714	9	3	16
6879	TAF7 TATA-box binding protein associated factor 7	349	1	1	1
6880	TAF9 TATA-box binding protein associated factor 9	264	2	1	1
6881	TAF10 TATA-box binding protein associated factor 10	218	1	1	5
6882	TAF11 TATA-box binding protein associated factor 11	211	3	3	6
6883	TAF12 TATA-box binding protein associated factor 12	161	3	2	6
6884	TAF13 TATA-box binding protein associated factor 13	124	1	1	4
6885	MAP3K7 mitogen-activated protein kinase kinase kinase 7	606	6	6	19
6886	TAL1 TAL bHLH transcription factor 1, erythroid differentiation factor	331	14	3	6
6887	TAL2 TAL bHLH transcription factor 2	108	1	1	1
6888	TALDO1 transaldolase 1	337	1	1	8
6890	TAP1 transporter 1, ATP binding cassette subfamily B member	808	2	2	11
6891	TAP2 transporter 2, ATP binding cassette subfamily B member	703	2	2	12
6892	TAPBP TAP binding protein	448	5	5	10
6610	SMPD2 sphingomyelin phosphodiesterase 2	423	3	3	12
6894	TARBP1 TAR (HIV-1) RNA binding protein 1	1621	7	7	36
6895	TARBP2 TARBP2, RISC loading complex RNA binding subunit	366	12	6	11
6897	TARS threonyl-tRNA synthetase	756	3	2	21
6898	TAT tyrosine aminotransferase	454	1	1	11
6899	TBX1 T-box 1	495	8	6	15
6900	CNTN2 contactin 2	1040	3	3	26
6901	TAZ tafazzin	292	17	17	17
6902	TBCA tubulin folding cofactor A	108	3	3	6
6903	TBCC tubulin folding cofactor C	346	1	1	1
6904	TBCD tubulin folding cofactor D	1192	21	18	55
6905	TBCE tubulin folding cofactor E	578	4	3	18
6906	SERPINA7 serpin family A member 7	415	3	3	6
6907	TBL1X transducin beta like 1 X-linked	577	5	2	16
6908	TBP TATA-box binding protein	339	2	2	7
6909	TBX2 T-box 2	712	2	2	7
6910	TBX5 T-box 5	518	4	3	10
6911	TBX6 T-box 6	436	4	1	8
6913	TBX15 T-box 15	496	4	4	10
203522	INTS6L integrator complex subunit 6 like	861	13	13	29
6915	TBXA2R thromboxane A2 receptor	407	3	2	5
6916	TBXAS1 thromboxane A synthase 1	580	11	10	24
6917	TCEA1 transcription elongation factor A1	301	4	4	11
6919	TCEA2 transcription elongation factor A2	299	8	4	12
6920	TCEA3 transcription elongation factor A3	348	8	8	19
6921	ELOC elongin C	112	11	2	4
137994	LETM2 leucine zipper and EF-hand containing transmembrane protein 2	491	19	9	16
6923	ELOB elongin B	161	2	2	6
6924	ELOA elongin A	798	1	1	11
6925	TCF4 transcription factor 4	773	54	32	34
6926	TBX3 T-box 3	743	2	2	8
6927	HNF1A HNF1 homeobox A	638	3	3	13
6928	HNF1B HNF1 homeobox B	557	8	8	13
6929	TCF3 transcription factor 3	654	26	13	28
100506388	LOC100506388 uncharacterized LOC100506388	127	1	1	3
727830	SPATA31A3 SPATA31 subfamily A member 3	1347	2	2	6
55769	ZNF83 zinc finger protein 83	516	13	1	2
6936	GCFC2 GC-rich sequence DNA-binding factor 2	781	8	7	23
138009	DCAF4L2 DDB1 and CUL4 associated factor 4 like 2	395	1	1	1
6938	TCF12 transcription factor 12	706	28	19	29
203547	VMA21 VMA21, vacuolar ATPase assembly factor	101	2	2	4
6940	ZNF354A zinc finger protein 354A	605	4	2	5
6941	TCF19 transcription factor 19	345	3	1	4
6942	TCF20 transcription factor 20	1960	6	3	6
6943	TCF21 transcription factor 21	179	2	1	4
6944	VPS72 vacuolar protein sorting 72 homolog	375	4	4	10
6945	MLX MLX, MAX dimerization protein	298	4	4	11
6947	TCN1 transcobalamin 1	433	1	1	9
6948	TCN2 transcobalamin 2	427	2	2	10
6949	TCOF1 treacle ribosome biogenesis factor 1	1488	19	19	32
6950	TCP1 t-complex 1	556	2	2	12
203228	C9orf72 chromosome 9 open reading frame 72	481	3	2	11
203562	TMEM31 transmembrane protein 31	168	1	1	2
55773	TBC1D23 TBC1 domain family member 23	699	5	5	23
57221	ARFGEF3 ARFGEF family member 3	2177	1	1	34
727857	BHLHA9 basic helix-loop-helix family member a9	235	1	1	1
100506422	LOC100506422 putative deoxyuridine 5'-triphosphate nucleotidohydrolase-like protein FLJ16323	141	2	2	7
727866	FAM156B family with sequence similarity 156 member B	213	12	1	1
6623	SNCG synuclein gamma	127	2	2	7
138046	RALYL RALY RNA binding protein like	304	37	17	16
6975	TECTB tectorin beta	329	2	2	12
55776	SAYSD1 SAYSVFN motif domain containing 1	183	2	2	3
138050	HGSNAT heparan-alpha-glucosaminide N-acetyltransferase	635	7	7	21
170825	GSX2 GS homeobox 2	304	1	1	2
6988	TCTA T cell leukemia translocation altered	103	1	1	3
6990	DYNLT3 dynein light chain Tctex-type 3	116	1	1	5
6991	TCTE3 t-complex-associated-testis-expressed 3	198	3	2	8
6992	PPP1R11 protein phosphatase 1 regulatory inhibitor subunit 11	126	2	2	4
6993	DYNLT1 dynein light chain Tctex-type 1	113	3	3	6
23011	RAB21 RAB21, member RAS oncogene family	225	1	1	7
6996	TDG thymine DNA glycosylase	410	4	3	11
6997	TDGF1 teratocarcinoma-derived growth factor 1	188	2	2	6
6999	TDO2 tryptophan 2,3-dioxygenase	406	1	1	12
727897	MUC5B mucin 5B, oligomeric mucus/gel-forming	5762	1	1	49
7003	TEAD1 TEA domain transcription factor 1	426	1	1	11
7004	TEAD4 TEA domain transcription factor 4	434	3	3	11
7005	TEAD3 TEA domain transcription factor 3	435	1	1	12
7006	TEC tec protein tyrosine kinase	631	4	4	19
7007	TECTA tectorin alpha	2155	1	1	23
7008	TEF TEF, PAR bZIP transcription factor	303	2	2	5
7009	TMBIM6 transmembrane BAX inhibitor motif containing 6	295	3	2	12
7010	TEK TEK receptor tyrosine kinase	1124	5	5	26
7011	TEP1 telomerase associated protein 1	2627	4	3	54
7013	TERF1 telomeric repeat binding factor 1	439	6	6	14
727910	TLCD2 TLC domain containing 2	264	1	1	4
7015	TERT telomerase reverse transcriptase	1132	3	3	18
7016	TESK1 testis-specific kinase 1	626	2	2	10
7018	TF transferrin	698	3	2	20
7019	TFAM transcription factor A, mitochondrial	246	4	4	11
7020	TFAP2A transcription factor AP-2 alpha	437	6	6	15
7021	TFAP2B transcription factor AP-2 beta	460	5	5	14
7022	TFAP2C transcription factor AP-2 gamma	450	1	1	7
7023	TFAP4 transcription factor AP-4	338	3	3	8
7024	TFCP2 transcription factor CP2	502	3	3	16
7025	NR2F1 nuclear receptor subfamily 2 group F member 1	423	2	2	5
7026	NR2F2 nuclear receptor subfamily 2 group F member 2	414	4	3	4
7027	TFDP1 transcription factor Dp-1	410	13	9	15
7029	TFDP2 transcription factor Dp-2	446	29	16	17
7030	TFE3 transcription factor binding to IGHM enhancer 3	575	2	2	11
7031	TFF1 trefoil factor 1	84	1	1	3
7032	TFF2 trefoil factor 2	129	1	1	4
7033	TFF3 trefoil factor 3	94	1	1	3
7035	TFPI tissue factor pathway inhibitor	304	9	2	8
7036	TFR2 transferrin receptor 2	801	4	2	21
7037	TFRC transferrin receptor	760	4	3	18
7038	TG thyroglobulin	2768	13	13	56
7039	TGFA transforming growth factor alpha	166	4	4	8
727936	GXYLT2 glucoside xylosyltransferase 2	443	5	5	11
7041	TGFB1I1 transforming growth factor beta 1 induced transcript 1	461	3	2	11
7042	TGFB2 transforming growth factor beta 2	442	2	2	8
7043	TGFB3 transforming growth factor beta 3	412	1	1	7
7044	LEFTY2 left-right determination factor 2	332	3	3	8
7045	TGFBI transforming growth factor beta induced	683	1	1	17
7046	TGFBR1 transforming growth factor beta receptor 1	507	7	6	11
7047	TGM4 transglutaminase 4	684	2	2	17
7048	TGFBR2 transforming growth factor beta receptor 2	592	5	4	9
7049	TGFBR3 transforming growth factor beta receptor 3	851	5	2	18
7050	TGIF1 TGFB induced factor homeobox 1	401	14	5	10
7051	TGM1 transglutaminase 1	817	1	1	14
7052	TGM2 transglutaminase 2	687	6	4	16
7053	TGM3 transglutaminase 3	693	1	1	13
7054	TH tyrosine hydroxylase	528	4	4	16
203245	NAIF1 nuclear apoptosis inducing factor 1	327	1	1	2
7056	THBD thrombomodulin	575	1	1	1
7057	THBS1 thrombospondin 1	1170	2	2	22
100506514	LOC100506514 uncharacterized LOC100506514	488	1	1	7
7059	THBS3 thrombospondin 3	956	16	13	28
7060	THBS4 thrombospondin 4	961	7	5	26
727957	MROH1 maestro heat like repeat family member 1	1641	25	17	56
7062	TCHH trichohyalin	1943	1	1	2
7064	THOP1 thimet oligopeptidase 1	689	2	2	14
7066	THPO thrombopoietin	493	11	6	12
7067	THRA thyroid hormone receptor alpha	490	4	3	11
7068	THRB thyroid hormone receptor beta	461	25	2	10
7069	THRSP thyroid hormone responsive	146	1	1	1
7070	THY1 Thy-1 cell surface antigen	161	3	1	3
7071	KLF10 Kruppel like factor 10	480	2	2	5
7072	TIA1 TIA1 cytotoxic granule associated RNA binding protein	386	21	11	20
7073	TIAL1 TIA1 cytotoxic granule associated RNA binding protein like 1	392	10	7	18
7074	TIAM1 T cell lymphoma invasion and metastasis 1	1591	14	2	26
7075	TIE1 tyrosine kinase with immunoglobulin like and EGF like domains 1	1138	5	5	27
7076	TIMP1 TIMP metallopeptidase inhibitor 1	207	2	2	6
7077	TIMP2 TIMP metallopeptidase inhibitor 2	220	1	1	5
7078	TIMP3 TIMP metallopeptidase inhibitor 3	211	1	1	5
7079	TIMP4 TIMP metallopeptidase inhibitor 4	224	1	1	5
7080	NKX2-1 NK2 homeobox 1	401	2	2	4
7082	TJP1 tight junction protein 1	1835	20	20	42
7083	TK1 thymidine kinase 1	234	2	2	9
7084	TK2 thymidine kinase 2, mitochondrial	265	7	7	12
170482	CLEC4C C-type lectin domain family 4 member C	213	3	3	7
7086	TKT transketolase	631	5	3	18
7087	ICAM5 intercellular adhesion molecule 5	924	3	2	12
7088	TLE1 transducin like enhancer of split 1	780	20	20	30
7089	TLE2 transducin like enhancer of split 2	744	6	6	25
138162	C9orf116 chromosome 9 open reading frame 116	136	2	2	4
7091	TLE4 transducin like enhancer of split 4	805	48	48	38
7092	TLL1 tolloid like 1	1013	4	4	24
7093	TLL2 tolloid like 2	1015	1	1	21
7094	TLN1 talin 1	2541	1	1	56
7095	SEC62 SEC62 homolog, preprotein translocation factor	399	2	2	9
7096	TLR1 toll like receptor 1	786	8	1	2
7097	TLR2 toll like receptor 2	784	14	1	2
7098	TLR3 toll like receptor 3	904	2	2	5
7099	TLR4 toll like receptor 4	839	3	3	3
7100	TLR5 toll like receptor 5	858	9	1	2
102800317	LOC400927-CSNK1E LOC400927-CSNK1E readthrough	416	1	1	9
7102	TSPAN7 tetraspanin 7	249	1	1	7
7103	TSPAN8 tetraspanin 8	237	3	1	10
7104	TM4SF4 transmembrane 4 L six family member 4	202	1	1	5
7105	TSPAN6 tetraspanin 6	245	6	4	8
7106	TSPAN4 tetraspanin 4	238	15	4	9
7107	GPR137B G protein-coupled receptor 137B	399	3	3	10
100506564	THEGL theg spermatid protein like	465	6	6	18
7109	TRAPPC10 trafficking protein particle complex 10	1259	20	19	34
7110	TMF1 TATA element modulatory factor 1	1093	2	2	19
7111	TMOD1 tropomodulin 1	359	2	1	9
7112	TMPO thymopoietin	454	6	6	13
7113	TMPRSS2 transmembrane serine protease 2	529	6	5	16
7114	TMSB4X thymosin beta 4, X-linked	44	1	1	2
170487	ACTL10 actin like 10	245	1	1	1
170959	ZNF431 zinc finger protein 431	577	5	5	10
170960	ZNF721 zinc finger protein 721	923	1	1	2
170961	ANKRD24 ankyrin repeat domain 24	1146	12	11	28
7122	CLDN5 claudin 5	303	4	1	3
7123	CLEC3B C-type lectin domain family 3 member B	202	4	4	6
7124	TNF tumor necrosis factor	233	1	1	4
100506581	C16orf95 chromosome 16 open reading frame 95	239	3	3	8
7126	TNFAIP1 TNF alpha induced protein 1	316	2	2	7
7127	TNFAIP2 TNF alpha induced protein 2	654	7	3	18
7128	TNFAIP3 TNF alpha induced protein 3	790	7	3	10
7130	TNFAIP6 TNF alpha induced protein 6	277	1	1	6
7132	TNFRSF1A TNF receptor superfamily member 1A	455	1	1	10
7133	TNFRSF1B TNF receptor superfamily member 1B	461	8	7	15
7134	TNNC1 troponin C1, slow skeletal and cardiac type	161	1	1	6
7135	TNNI1 troponin I1, slow skeletal type	187	1	1	7
7136	TNNI2 troponin I2, fast skeletal type	182	3	2	8
7137	TNNI3 troponin I3, cardiac type	210	1	1	8
7138	TNNT1 troponin T1, slow skeletal type	278	7	4	16
203259	FAM219A family with sequence similarity 219 member A	185	10	10	10
7140	TNNT3 troponin T3, fast skeletal type	258	29	25	22
7141	TNP1 transition protein 1	55	1	1	2
7142	TNP2 transition protein 2	138	1	1	2
400359	C15orf53 chromosome 15 open reading frame 53	179	1	1	2
400360	C15orf54 chromosome 15 open reading frame 54 (putative)	183	2	1	2
203260	CCDC107 coiled-coil domain containing 107	256	5	5	11
7148	TNXB tenascin XB	4242	2	2	44
7150	TOP1 DNA topoisomerase I	765	1	1	21
728047	GOLGA8O golgin A8 family member O	632	3	3	23
7153	TOP2A DNA topoisomerase II alpha	1531	3	3	38
7155	TOP2B DNA topoisomerase II beta	1621	3	3	40
7156	TOP3A DNA topoisomerase III alpha	1001	3	3	20
7157	TP53 tumor protein p53	393	15	12	14
7158	TP53BP1 tumor protein p53 binding protein 1	1977	6	6	32
7159	TP53BP2 tumor protein p53 binding protein 2	1134	5	3	19
7161	TP73 tumor protein p73	636	13	13	14
7162	TPBG trophoblast glycoprotein	420	3	1	2
7163	TPD52 tumor protein D52	247	7	7	9
7164	TPD52L1 tumor protein D52 like 1	209	14	11	12
7165	TPD52L2 tumor protein D52 like 2	229	13	13	15
7166	TPH1 tryptophan hydroxylase 1	444	1	1	10
100113407	TMEM170B transmembrane protein 170B	132	1	1	3
7168	TPM1 tropomyosin 1	284	28	28	22
7169	TPM2 tropomyosin 2	284	11	6	15
7170	TPM3 tropomyosin 3	285	9	9	13
7171	TPM4 tropomyosin 4	284	8	7	17
7172	TPMT thiopurine S-methyltransferase	245	3	2	8
7173	TPO thyroid peroxidase	933	9	7	18
7174	TPP2 tripeptidyl peptidase 2	1249	4	4	32
7175	TPR translocated promoter region, nuclear basket protein	2363	1	1	51
171017	ZNF384 zinc finger protein 384	577	25	11	11
7178	TPT1 tumor protein, translationally-controlled 1	197	3	3	6
171019	ADAMTS19 ADAM metallopeptidase with thrombospondin type 1 motif 19	1207	8	6	29
7180	CRISP2 cysteine rich secretory protein 2	243	16	4	11
7181	NR2C1 nuclear receptor subfamily 2 group C member 1	603	8	8	17
7182	NR2C2 nuclear receptor subfamily 2 group C member 2	615	12	4	17
138255	C9orf135 chromosome 9 open reading frame 135	229	9	7	11
7184	HSP90B1 heat shock protein 90 beta family member 1	803	1	1	18
7185	TRAF1 TNF receptor associated factor 1	416	3	2	7
7186	TRAF2 TNF receptor associated factor 2	501	9	3	13
7187	TRAF3 TNF receptor associated factor 3	568	11	6	11
7188	TRAF5 TNF receptor associated factor 5	568	8	3	13
7189	TRAF6 TNF receptor associated factor 6	522	3	2	7
57659	ZBTB4 zinc finger and BTB domain containing 4	1013	5	1	2
100506650	C17orf112 chromosome 17 open reading frame 112	114	2	2	6
7200	TRH thyrotropin releasing hormone	242	1	1	2
7201	TRHR thyrotropin releasing hormone receptor	398	2	1	4
100506658	OCLN occludin	522	5	3	8
7203	CCT3 chaperonin containing TCP1 subunit 3	545	2	2	14
7204	TRIO trio Rho guanine nucleotide exchange factor	3097	8	8	63
7205	TRIP6 thyroid hormone receptor interactor 6	476	1	1	9
219557	TEX47 testis expressed 47	253	2	1	2
6663	SOX10 SRY-box 10	466	1	1	3
7216	TRO trophinin	706	20	7	16
728113	ANXA8L1 annexin A8 like 1	327	3	3	13
7220	TRPC1 transient receptor potential cation channel subfamily C member 1	793	6	6	16
728118	NUTM2A NUT family member 2A	878	3	2	9
7223	TRPC4 transient receptor potential cation channel subfamily C member 4	893	9	8	17
7224	TRPC5 transient receptor potential cation channel subfamily C member 5	973	2	1	11
7225	TRPC6 transient receptor potential cation channel subfamily C member 6	931	4	4	16
7226	TRPM2 transient receptor potential cation channel subfamily M member 2	1553	8	7	38
7227	TRPS1 transcriptional repressor GATA binding 1	1294	10	5	10
6666	SOX12 SRY-box 12	315	1	1	1
388960	C2orf78 chromosome 2 open reading frame 78	922	2	1	5
400451	FAM174B family with sequence similarity 174 member B	159	1	1	2
138311	FAM69B family with sequence similarity 69 member B	431	4	4	9
28514	DLL1 delta like canonical Notch ligand 1	723	2	2	14
7247	TSN translin	228	2	2	6
7248	TSC1 TSC complex subunit 1	1164	12	5	23
7249	TSC2 TSC complex subunit 2	1807	18	18	46
203859	ANO5 anoctamin 5	913	6	6	26
7252	TSHB thyroid stimulating hormone beta	138	3	2	5
7253	TSHR thyroid stimulating hormone receptor	764	7	4	15
131177	FAM3D family with sequence similarity 3 member D	224	13	6	13
7257	TSNAX translin associated factor X	290	1	1	6
100506127	GVQW3 GVQW motif containing 3	254	2	2	3
7260	EIPR1 EARP complex and GARP complex interacting protein 1	387	7	6	14
7262	PHLDA2 pleckstrin homology like domain family A member 2	152	1	1	1
7263	TST thiosulfate sulfurtransferase	297	2	1	2
7264	TSTA3 tissue specific transplantation antigen P35B	327	4	2	11
7265	TTC1 tetratricopeptide repeat domain 1	292	2	1	7
7266	DNAJC7 DnaJ heat shock protein family (Hsp40) member C7	494	6	2	16
7267	TTC3 tetratricopeptide repeat domain 3	2065	24	14	56
7268	TTC4 tetratricopeptide repeat domain 4	387	2	2	10
7270	TTF1 transcription termination factor 1	905	4	3	12
55825	PECR peroxisomal trans-2-enoyl-CoA reductase	303	2	2	8
7272	TTK TTK protein kinase	857	5	3	24
7273	TTN titin	35991	12	12	364
7274	TTPA alpha tocopherol transfer protein	278	2	2	7
7275	TUB tubby bipartite transcription factor	561	4	4	16
7276	TTR transthyretin	147	1	1	4
7277	TUBA4A tubulin alpha 4a	448	3	3	5
7278	TUBA3C tubulin alpha 3c	450	1	1	5
100506736	SLFN12L schlafen family member 12 like	588	6	3	8
400499	LOC400499 vitellogenin	3319	21	21	78
7284	TUFM Tu translation elongation factor, mitochondrial	455	3	2	14
7286	TUFT1 tuftelin 1	409	6	6	18
7287	TULP1 tubby like protein 1	542	2	2	15
7288	TULP2 tubby like protein 2	520	8	5	15
7289	TULP3 tubby like protein 3	501	2	2	13
400506	KNOP1 lysine rich nucleolar protein 1	458	6	3	6
7291	TWIST1 twist family bHLH transcription factor 1	202	2	1	2
7292	TNFSF4 TNF superfamily member 4	183	6	6	10
7293	TNFRSF4 TNF receptor superfamily member 4	277	7	5	12
7294	TXK TXK tyrosine kinase	527	6	6	16
7295	TXN thioredoxin	105	2	2	5
7296	TXNRD1 thioredoxin reductase 1	649	7	5	19
7297	TYK2 tyrosine kinase 2	1187	7	5	25
7298	TYMS thymidylate synthetase	313	1	1	7
7299	TYR tyrosinase	529	2	2	7
7301	TYRO3 TYRO3 protein tyrosine kinase	890	3	3	22
7305	TYROBP TYRO protein tyrosine kinase binding protein	113	4	4	6
7306	TYRP1 tyrosinase related protein 1	537	1	1	7
7307	U2AF1 U2 small nuclear RNA auxiliary factor 1	240	5	5	10
7311	UBA52 ubiquitin A-52 residue ribosomal protein fusion product 1	135	13	5	7
23064	SETX senataxin	2677	12	7	30
7314	UBB ubiquitin B	229	6	1	1
7316	UBC ubiquitin C	685	1	1	1
7317	UBA1 ubiquitin like modifier activating enzyme 1	1058	9	5	30
7318	UBA7 ubiquitin like modifier activating enzyme 7	1012	6	6	27
7319	UBE2A ubiquitin conjugating enzyme E2 A	152	3	3	7
7320	UBE2B ubiquitin conjugating enzyme E2 B	152	1	1	6
7321	UBE2D1 ubiquitin conjugating enzyme E2 D1	147	3	3	8
7322	UBE2D2 ubiquitin conjugating enzyme E2 D2	147	3	3	9
7323	UBE2D3 ubiquitin conjugating enzyme E2 D3	149	11	4	12
